id,game,action,score,opponent,guess,coordination
1,PD,0,10,Base,LLM,0
1,PD,1,0,Base,LLM,0
1,PD,0,5,Base,LLM,1
1,PD,0,5,Base,LLM,1
1,PD,0,5,Base,LLM,1
1,PD,1,0,Base,LLM,0
1,PD,0,5,Base,LLM,1
1,PD,0,5,Base,LLM,1
1,PD,1,0,Base,LLM,0
1,PD,0,5,Base,LLM,1
1,BoS,1,7,Base,LLM,1
1,BoS,0,0,Base,LLM,0
1,BoS,1,7,Base,LLM,1
1,BoS,1,7,Base,LLM,1
1,BoS,1,7,Base,LLM,1
1,BoS,0,0,Base,LLM,0
1,BoS,1,7,Base,LLM,1
1,BoS,0,0,Base,LLM,0
1,BoS,1,7,Base,LLM,1
1,BoS,1,7,Base,LLM,1
2,PD,0,10,Base,LLM,0
2,PD,0,5,Base,LLM,1
2,PD,1,0,Base,LLM,0
2,PD,0,10,Base,LLM,0
2,PD,1,0,Base,LLM,0
2,PD,0,5,Base,LLM,1
2,PD,0,5,Base,LLM,1
2,PD,0,5,Base,LLM,1
2,PD,0,5,Base,LLM,1
2,PD,0,5,Base,LLM,1
2,BoS,0,0,Base,LLM,0
2,BoS,1,7,Base,LLM,1
2,BoS,0,0,Base,LLM,0
2,BoS,1,0,Base,LLM,0
2,BoS,0,0,Base,LLM,0
2,BoS,1,7,Base,LLM,1
2,BoS,0,10,Base,LLM,1
2,BoS,0,0,Base,LLM,0
2,BoS,0,0,Base,LLM,0
2,BoS,0,0,Base,LLM,0
3,PD,0,10,Prompted,LLM,0
3,PD,0,5,Prompted,LLM,1
3,PD,1,0,Prompted,LLM,0
3,PD,1,0,Prompted,LLM,0
3,PD,1,8,Prompted,LLM,0
3,PD,1,8,Prompted,LLM,0
3,PD,1,0,Prompted,LLM,0
3,PD,0,5,Prompted,LLM,1
3,PD,0,5,Prompted,LLM,1
3,PD,0,5,Prompted,LLM,1
3,BoS,0,0,Prompted,Human,0
3,BoS,1,0,Prompted,Human,0
3,BoS,1,7,Prompted,Human,1
3,BoS,0,0,Prompted,Human,0
3,BoS,0,0,Prompted,Human,0
3,BoS,0,10,Prompted,Human,1
3,BoS,0,10,Prompted,Human,1
3,BoS,0,0,Prompted,Human,0
3,BoS,1,0,Prompted,Human,0
3,BoS,0,10,Prompted,Human,1
4,PD,1,8,Prompted,Human,0
4,PD,1,8,Prompted,Human,0
4,PD,1,8,Prompted,Human,0
4,PD,1,8,Prompted,Human,0
