sweep,run_index,repeat_index,replicate_id,model_id,task_id,rc,wall_time,scored,l1_complete,l3_measurable,composite,l1,l2,l3,l3_n_testable,l3_n_untestable,l3_n_errors,l3_coverage,n_trials,observation_mode,git_sha,session_id,retried,retry_of_rc
rebuttal_v1_launch_20260724_211936,4,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,serial_recall_v2,0,227.2,True,False,False,6.00,0.4000,0.0000,0.0000,0,5,0,0.0,1,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,ba726179-e3ed-4502-9435-1a7b53bd0b1c,,
rebuttal_v1_launch_20260724_211936,0,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,random_dot_motion_v2,0,443.6,True,False,False,31.01,0.4000,0.0002,0.5000,1,3,0,0.2,31,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,bb4a70e6-85e3-4591-974b-4466d4ddc260,,
rebuttal_v1_launch_20260724_211936,5,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,visual_recognition,0,450.2,True,False,False,12.00,0.8000,0.0000,0.0000,0,3,0,0.0,105,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,0c926d23-c75c-4d2c-b636-21da1074ae8d,,
rebuttal_v1_launch_20260724_211936,2,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,marbles_risk,0,504.4,True,False,True,81.35,0.4000,0.9839,0.8182,4,0,0,1.0,34,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,6e4cdca4-2258-44c3-8956-ec7f7452f68c,,
rebuttal_v1_launch_20260724_211936,3,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,repeated_games,0,646.3,True,True,True,47.71,1.0000,0.3633,0.4000,2,2,0,0.5,30,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,a78cf200-742c-4b5f-ac7a-a5cffd59c2db,,
rebuttal_v1_launch_20260724_211936,7,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,tiny_alchemy,0,550.9,True,False,False,3.00,0.2000,0.0000,0.0000,0,2,0,0.0,3,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,cb2d66f6-7c74-4a45-8f33-1ab4a775630f,,
rebuttal_v1_launch_20260724_211936,1,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,grid_bandit,0,1470.4,True,False,True,43.62,0.6000,0.0963,0.6250,5,0,0,1.0,69,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,7c6ba0fb-ee4d-44e0-bd51-523da5ca8918,,
rebuttal_v1_launch_20260724_211936,11,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,grid_bandit,0,599.7,True,True,True,68.88,1.0000,0.3490,0.8333,5,0,0,1.0,137,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,d15a7949-9fa1-4f93-9179-9a4b0d34b763,,
rebuttal_v1_launch_20260724_211936,10,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,random_dot_motion_v2,0,953.5,True,True,True,54.45,1.0000,0.1985,0.6500,4,0,0,1.0,100,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,d85857d1-7587-4ffc-ac52-2a3b65fc899a,,
rebuttal_v1_launch_20260724_211936,6,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,effort_foraging,0,1407.2,True,True,True,52.86,1.0000,0.6922,0.2727,4,0,0,1.0,80,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,b1da2b79-9dcc-4d8e-9549-5596d2cc32b0,,
rebuttal_v1_launch_20260724_211936,14,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,serial_recall_v2,0,165.8,True,False,True,58.43,0.6000,0.8170,0.4167,5,0,0,1.0,55,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,bb791e27-4382-40aa-a9ba-da861fad732a,,
rebuttal_v1_launch_20260724_211936,13,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,repeated_games,0,180.3,True,True,True,60.92,1.0000,0.4958,0.5714,3,1,0,0.7,30,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,135fc3ec-b203-4e5e-804f-5847e6087cec,,
rebuttal_v1_launch_20260724_211936,8,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,moral_machine,0,1336.8,True,True,True,71.88,1.0000,0.6252,0.7000,4,1,0,0.9091,40,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,3f0fb786-1759-4354-8e12-761cec016ff2,,
rebuttal_v1_launch_20260724_211936,12,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,marbles_risk,0,535.9,True,True,True,89.06,1.0000,0.9470,0.8182,4,0,0,1.0,64,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,4eb4b972-b5d6-4e8b-a8ff-3e195003a775,,
rebuttal_v1_launch_20260724_211936,17,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,tiny_alchemy,0,365.1,True,False,True,50.81,0.6000,0.7185,0.3333,2,0,0,1.0,38,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,fad835b2-cae4-48c5-8671-0fae7dda5dc4,,
rebuttal_v1_launch_20260724_211936,18,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,moral_machine,0,369.6,True,True,True,99.66,1.0000,0.9903,1.0000,4,1,0,0.9091,40,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,4e65dac4-096a-4785-8edf-e528d439db0b,,
rebuttal_v1_launch_20260724_211936,16,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,effort_foraging,0,428.9,True,True,True,41.91,1.0000,0.6389,0.0909,4,0,0,1.0,80,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,bdaff6a0-f681-422b-9be2-86fa4b863565,,
rebuttal_v1_launch_20260724_211936,20,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,random_dot_motion_v2,0,102.5,True,False,False,6.01,0.4000,0.0002,0.0000,0,4,0,0.0,29,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,f8c75dc3-a954-4b2e-ab3e-1dc45f36320d,,
rebuttal_v1_launch_20260724_211936,9,0,rebuttal_v1_launch_20260724_211936#0,kimi-k2.5,phishing_detection_v2,1,1804.5,True,True,True,67.45,1.0000,0.7193,0.5455,4,0,0,1.0,60,screenshot,dd8193f6a8694b6f8880ef6209243d5fce38ca1d,f930ce44-77ff-4743-8b75-9bc0aab711cf,,
rebuttal_v1_launch_20260724_211936,15,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,visual_recognition,0,707.5,True,True,True,32.90,1.0000,0.3329,0.1250,3,0,0,1.0,100,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,6bbd8deb-e142-440a-8565-919759b00469,,
rebuttal_v1_launch_20260724_211936,22,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,marbles_risk,0,251.1,True,False,False,6.00,0.4000,0.0000,0.0000,1,3,0,0.2727,17,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,4c407b87-65ac-4cd8-964d-b2c0925c0d4e,,
rebuttal_v1_launch_20260724_211936,19,0,rebuttal_v1_launch_20260724_211936#0,gemini-3-flash-preview,phishing_detection_v2,0,474.4,True,True,True,71.14,1.0000,0.5651,0.7273,4,0,0,1.0,60,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,e3e70493-5984-4433-99ff-e47c0bd46a7d,,
rebuttal_v1_launch_20260724_211936,27,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,tiny_alchemy,0,103.6,True,False,False,42.15,0.6000,0.9471,0.0000,0,2,0,0.0,3,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,77337e13-78bb-47b1-84c2-4e451482f7ea,,
rebuttal_v1_launch_20260724_211936,25,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,visual_recognition,0,324.9,True,False,False,23.65,0.8000,0.3329,0.0000,0,3,0,0.0,112,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,cc715f7e-f8f7-4926-b773-5978864f6568,,
rebuttal_v1_launch_20260724_211936,24,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,serial_recall_v2,0,425.3,True,True,True,46.42,1.0000,0.1835,0.5000,5,0,0,1.0,16,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,c17927de-5224-41ae-961d-7db0494dca9e,,
rebuttal_v1_launch_20260724_211936,21,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,grid_bandit,0,598.3,True,True,True,63.17,1.0000,0.3048,0.7500,5,0,0,1.0,110,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,f5f76409-9b7f-465d-aa57-0f0859bf2611,,
rebuttal_v1_launch_20260724_211936,26,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,effort_foraging,0,420.4,True,False,True,46.19,0.8000,0.5224,0.3182,4,0,0,1.0,95,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,76f36d1f-2b8b-4268-a16d-79723490f068,,
rebuttal_v1_launch_20260724_211936,32,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,marbles_risk,0,60.4,True,False,False,6.00,0.4000,0.0000,0.0000,0,4,0,0.0,6,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,60ccf556-2489-41f5-b61d-27a55bd88e0f,,
rebuttal_v1_launch_20260724_211936,29,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,phishing_detection_v2,0,260.0,True,False,True,63.86,0.8000,0.4101,0.7500,3,1,0,0.7273,70,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,9d7e69ec-1564-4ab1-ae2b-cdff634dea7e,,
rebuttal_v1_launch_20260724_211936,31,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,grid_bandit,0,173.1,True,False,True,13.20,0.6000,0.0010,0.0833,5,0,0,1.0,26,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,eaee4c8a-a0fa-4004-abc2-d97b567406ee,,
rebuttal_v1_launch_20260724_211936,23,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,repeated_games,0,686.7,True,False,False,14.51,0.2000,0.3288,0.0000,0,4,0,0.0,9,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,e82d61a8-b622-4e51-8147-1fa30214bd1a,,
rebuttal_v1_launch_20260724_211936,30,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,random_dot_motion_v2,0,195.3,True,False,False,3.00,0.2000,0.0000,0.0000,0,4,0,0.0,3,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,d8350687-dfef-45ca-9ebe-0e7a9cb500ad,,
rebuttal_v1_launch_20260724_211936,28,0,rebuttal_v1_launch_20260724_211936#0,gpt-5.4-nano,moral_machine,0,348.2,True,False,False,12.96,0.4000,0.1990,0.0000,0,5,0,0.0,12,screenshot,a0bd65d26028e06033a214745d40a2e623a240f8,b300e860-594d-41a4-9ed4-6afbfb2d5537,,
rebuttal_v1_launch_20260724_211936,38,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,moral_machine,0,1805.0,True,False,False,0.00,0.0000,0.0000,0.0000,0,5,0,0.0,2,screenshot,586f884358a44d58196cb93d20c606f76aa28a97,1fdeaf40-dd30-48df-b6f7-908c1e02958d,True,1
rebuttal_v1_launch_20260724_211936,33,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,repeated_games,0,439.3,True,True,True,44.77,1.0000,0.4219,0.3000,2,2,0,0.5,30,screenshot,586f884358a44d58196cb93d20c606f76aa28a97,8f747736-6fce-4867-8292-c83d2d4ba01a,True,1
rebuttal_v1_launch_20260724_211936,37,0,rebuttal_v1_launch_20260724_211936#0,qwen3-vl-235b-instruct,tiny_alchemy,0,798.7,True,False,True,82.33,0.6000,0.6666,1.0000,1,1,0,0.6667,11,screenshot,d981475372c9c436f3a12b9aff9c0a9a9084858d,bb4408a7-a60d-4043-a49b-9be5fe0b011f,True,1
