sweep,repeat_index,model_id,task_id,signature,testable,untestable_reason,score,passed,p_value,effect_size,direction_correct
vision_ablation_20260725_224706,0,gemini-3-flash-preview,moral_machine,utilitarian_preference,True,,1.0,True,0.0009765625,0.5,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,moral_machine,age_preference_save_young,True,,1.0,True,0.0009765625,0.5,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,moral_machine,species_preference_save_human,True,,1.0,True,0.0009765625,0.5,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,moral_machine,legality_preference_save_lawful,False,insufficient_data,,False,,,
vision_ablation_20260725_224706,0,gemini-3-flash-preview,moral_machine,intervention_aversion,False,insufficient_data,,False,,,
vision_ablation_20260725_224706,0,gemini-3-flash-preview,phishing_detection_v2,above_chance_discrimination,True,,1.0,True,4.975816092489538e-09,0.7333333333333334,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,phishing_detection_v2,learning_effect,True,,0.0,False,0.15245089408939427,-0.09999999999999998,False
vision_ablation_20260725_224706,0,gemini-3-flash-preview,phishing_detection_v2,above_chance_overall,True,,1.0,True,2.602845736686399e-09,0.3666666666666667,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,phishing_detection_v2,practice_rt_speedup,True,,0.5,False,0.10895747930434832,-0.1614123129686696,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,random_dot_motion_v2,coherence_accuracy_psychometric,True,,0.5,False,0.3266319827817154,0.0763664389921746,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,random_dot_motion_v2,coherence_rt_chronometric,True,,0.5,False,0.32750055961610014,-0.1258252883658066,True
vision_ablation_20260725_224706,0,gemini-3-flash-preview,random_dot_motion_v2,above_chance_low_coherence,True,,0.0,False,0.8665771484375,-0.14285714285714285,False
vision_ablation_20260725_224706,0,gemini-3-flash-preview,random_dot_motion_v2,above_chance_overall,True,,0.0,False,0.885238528251648,-0.09459459459459457,False
